sno,day,month,year,date,seiz_location,seiz_lat,seiz_long,seiz_district,seiz_state,seiz_country,product,iwt_number,iwt_indian_tft_number,iwt_quantity (kg),transport_involved,in_transit_location_type,last_transit_location,last_transit_district,last_transit_state,last_transit_country,sour_location,sour_district,sour_state,sour_country,destination1_location,destination1_district,destination1_state,destination1_country,destination2_location,destination2_district,destination2_state,destination2_country,group1,group1_number,group2,group2_number,group3,group3_number,species1,species1_number,species2,species2_number,species3,species3_number,species4,species4_number,species5,species5_number,media_link.1,media_link.2,media_link.3
186,4,July,2018,"July 4, 2018","House, Petrapole, 
border with
Bangladesh",23.036,88.8767,North 24 Parganas,West Bengal,India,Live,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kolkata,Kolkata,West Bengal,India,NA,NA,NA,Bangladesh,Softshell Turtle,21,NA,NA,NA,NA,Trionychidae,21,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_22.pdf,https://www.telegraphindia.com/states/jharkhand/vulnerable-turtles-rescued-2-arrested/cid/1373178,NA
187,25,July,2018,"July 25, 2018",Tiruchirappalli International Airport,10.7905,78.7047,Tiruchirappalli,Tamil Nadu,India,Live,NA,NA,12.4,Air,NA,Colombo,NA,NA,Sri Lanka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_22.pdf,https://timesofindia.indiatimes.com/city/chennai/baby-tortoises-seized-at-trichy-airport/articleshow/65147678.cms,NA
188,28,July,2018,"July 28, 2018",Unchahar,26.8467,80.9462,Raebareli,Uttar Pradesh,India,Live,6,6,NA,Road,In-transit (Road),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,6,NA,NA,NA,NA,Trionychidae,6,NA,NA,NA,NA,NA,NA,NA,NA,https://www.amarujala.com/lucknow/police-got-tortoise-from-smuggler-in-raebareli,NA,NA
189,NA,July,2018,"July , 2018",KGN pet shop and Tayba pet shop,19.2183,72.9781,Thane,Maharashtra,India,Live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_22.pdf,https://timesofindia.indiatimes.com/city/thane/2-held-for-selling-turtles-get-forest-custody/articleshow/64980648.cms,NA
190,4,August,2018,"August 4, 2018",Visakhapatnam railway station,17.6868,83.2185,Visakhapatnam,Andhra Pradesh,India,Live,1100,1100,NA,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,Howrah,Howrah,West Bengal,India,NA,NA,NA,Bangladesh,Tortoise/Hardshell Turtle,1100,NA,NA,NA,NA,Indian star tortoise,1100,NA,NA,NA,NA,NA,NA,NA,NA,https://www.ndtv.com/india-news/three-men-caught-illegally-transporting-more-than-1-000-star-tortoises-1895648,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_22.pdf,https://www.youtube.com/watch?v=uTZG8EG6ENY
191,12,August,2018,"August 12, 2018","Rampur road, near Zero Point area",28.367,79.4304,Bareilly,Uttar Pradesh,India,Live,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,11,NA,NA,NA,NA,Trionychidae,11,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_22.pdf,https://timesofindia.indiatimes.com/city/bareilly/11-turtles-of-endangered-species-rescued-one-held/articleshow/65378840.cms,NA
192,23,August,2018,"August 23, 2018",Rajghat Railway station,21.7648,87.1551,Balasore,Odisha,India,Live,91,91,NA,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,91,NA,NA,NA,NA,Trionychidae,91,NA,NA,NA,NA,NA,NA,NA,NA,https://odishasuntimes.com/91-turtles-seized-2-arrested-in-balasore/,https://www.youtube.com/watch?v=GwBFegAp8vQ,NA
193,6,September,2018,"September 6, 2018",Kurla Terminus,19.076,72.8777,Mumbai,Maharashtra,India,Live,523,523,NA,Rail,In-transit (Train station),Anantapur,Anantapur,Andhra Pradesh,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,523,NA,NA,NA,NA,Indian star tortoise,523,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/mumbai/523-rare-tortoises-seized-from-train-passenger/articleshow/65713297.cms,https://www.hindustantimes.com/mumbai-news/bid-to-smuggle-523-star-tortoises-foiled-woman-arrested-at-kurla-terminus-in-mumbai/story-4fU5LSK25oN3zBW86bjXFN.html,https://www.indiatoday.in/india/maharashtra/story/523-star-tortoises-brought-for-trafficking-rescued-from-mumbai-1334111-2018-09-07
194,17,September,2018,"September 17, 2018",Aligarh junction,27.8974,78.088,Aligarh,Uttar Pradesh,India,Live,50,50,NA,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,50,NA,NA,NA,NA,Spotted black terrapin,NA,Indian roofed turtle,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_22.pdf,https://timesofindia.indiatimes.com/city/agra/bomb-disposal-squad-discovers-50-turtles-from-kalka-mail-in-aligarh/articleshow/65847078.cms,https://zeenews.india.com/hindi/india/up-uttarakhand/rpf-rescued-50-turtles-from-kalka-express-in-aligarh/447941
195,29,September,2018,"September 29, 2018",Kanpur Railway Station,26.4499,80.3319,Kanpur Nagar,Uttar Pradesh,India,Live,750,750,NA,Rail,In-transit (Train station),NA,NA,NA,NA,NA,NA,NA,NA,Kolkata,Kolkata,West Bengal,India,NA,NA,NA,NA,Tortoise/Hardshell Turtle,750,NA,NA,NA,NA,Indian tent turtle,NA,Indian roofed turtle,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_22.pdf; https://hindi.mynation.com/news/kanpur-one-smuggler-arrested-750-turtles-rescued-from-him-at-central-railway-station-earlier-today-pfuyr6,https://www.business-standard.com/article/news-ani/kanpur-smuggler-arrested-with-750-turtles-118093000045_1.html,https://www.youtube.com/watch?v=nLMHGJ-0Jqw
